system_id,name,latitude,longitude,power,type,tracking,pixelCount,mounting,module_technology,module_model
5284,Alta Loma Banyan ES,34.1417758,-117.5656728,218.62,Parking,FALSE,5825,2,mono-Si,sw340 xl mono
5285,Alta Loma Carnelian ES,34.1249849,-117.6154356,183.6,Parking,FALSE,4945,2,mono-Si,sw340 xl mono
5286,Alta Loma Deer Canyon,34.1308872,-117.5815684,128.52,Parking,FALSE,3916,2,mono-Si,sw340 xl mono
5288,Alta Loma Hermosa,34.1498984,-117.5831876,136,Parking,FALSE,3788,2,mono-Si,sw340 xl mono
5289,Alta Loma Jasper ES,34.129808,-117.619506,193.46,Parking,FALSE,5344,2,mono-Si,sw340 xl mono
5291,Alta Loma Victoria Groves,34.1286731,-117.5660026,138.72,Parking,FALSE,3585,2,mono-Si,sw340 xl mono
5263,Amphitheater - Coronado K-8,32.4757016,-110.9205687,618.24,Parking,FALSE,20000,2,mono-Si,sw320 xl mono
5269,Amphitheater - Ironwood Ridge HS,32.407918,-111.020425,476.16,Parking,FALSE,2226,2,mono-Si,sw320 xl mono
5270,Amphitheater - Painted Sky,32.435504,-110.97015,253.44,Parking,FALSE,4729,2,mono-Si,sw320 xl mono
5251,Amphitheater Donaldson,32.333323,-111.0118027,263.04,Parking,FALSE,8469,2,mono-Si,sw320 xl mono
5248,Amphitheater Holoway,32.2707114,-110.9476387,284.16,Parking,FALSE,11756,2,mono-Si,sw320 xl mono
5253,Amphitheater Preschool,32.270802,-110.948879,17.28,Parking,FALSE,6023,2,mono-Si,sw320 xl mono
5255,Amphitheater PS - Keeling,32.2587806,-110.96408,324.48,Parking,FALSE,10551,2,mono-Si,sw320 xl mono
5262,Amphitheater Transportation Food Services,32.278159,-110.96863,76.8,Parking,FALSE,4669,2,mono-Si,sw320 xl mono
5250,Amphitheater Walker ES,32.3017754,-111.0031279,276.8,Parking,FALSE,10358,2,mono-Si,sw320 xl mono
5000,Anne Arundel Shared Services,39.108345,-76.633947,750.93,Roof,FALSE,54164,1,mono-Si,sw245
5998,"AT&T - Freehold, NJ (Roof) Site #1",40.249787,-74.290107,106.925,rooftop-fixed,FALSE,6557,1,multi-Si,tsm-235pa05
5002,Buckeye Union High School   BUHS,33.3749516,-112.5772315,1274.7,Parking,FALSE,36684,2,multi-Si,stp280-24/vd
6413,CA-07-033 - Target Corona,33.826636,-117.5162562,439.488,Roof,FALSE,14602,1,mono-Si,spr-e20-327-com
6414,CA-07-034 - Target Dublin,37.702983,-121.853,439.488,Roof,FALSE,15329,1,mono-Si,spr-e20-327-com
6415,CA-07-035 - Target Roseville,38.791,-121.29,502.272,Roof,FALSE,17884,1,mono-Si,spr-e20-327-com
6416,CA-07-036 - WCCUSD - Crespi MS,37.9857338,-122.3076513,156.6,Canopy,FALSE,4543,2,mono-Si,spr-e20-435-com
6417,CA-07-037 - WCCUSD - Stewart ES,37.9901091,-122.29,104.4,Canopy,FALSE,2970,2,mono-Si,spr-e20-435-com
6419,CA-07-039 - WCCUSD - Hannah Ranch ES,37.9927474,-122.2345451,108.75,Canopy,FALSE,3385,2,mono-Si,spr-e20-435-com
6420,CA-07-040 - WCCUSD - Lovonya DeJean MS,37.932557,-122.336882,261,Canopy,FALSE,6977,2,mono-Si,spr-e20-435-com
6421,CA-07-041 - WCCUSD - Ellerhorst ES,37.9819286,-122.2727814,117.45,Canopy,FALSE,2973,2,mono-Si,spr-e20-435-com
6422,CA-07-042 - WCCUSD - Kensington ES,37.914162,-122.278657,104.4,Canopy,FALSE,2374,2,mono-Si,spr-e20-435-com
