pixel_count,mounting_configuration,technology_type,power,module_technology,module_model
160371,3,6,1184.4,CdTe,fs-4117a-3
13114,1,6,81.75,CdTe,fs-275
95881,3,6,1998,CdTe,fs-4112-2
105719,3,6,231.855,CdTe,fs-272
2512,1,5,57.72,SJT,hip-195ba3
54032,3,5,720.72,SJT,hip-195ba3
613,2,5,48.64,SJT,hip-190ba3
4377,1,5,60.8,SJT,hip-190ba3
5669,1,5,152.88,SJT,hip-195ba19
3329,1,5,81.9,SJT,hip-195ba19
12693,1,5,43.68,SJT,hip-195ba3
19718,1,5,2.34,SJT,hip-195ba3
1205,1,5,15.96,SJT,hip-210hkha6
25238,1,5,43.68,SJT,hip-195ba3
