pixel_count,mounting_configuration,power
30897,2,218.62
30300,2,183.6
26019,2,128.52
26622,2,136
36720,2,193.46
19221,2,138.72
90672,2,618.24
18399,2,476.16
26694,2,253.44
51945,2,263.04
65592,2,284.16
36819,2,17.28
59931,2,324.48
36105,2,76.8
56184,2,276.8
197172,1,750.93
42642,1,106.925
204726,2,1274.7
96444,1,439.488
69378,1,439.488
117750,1,502.272
37851,2,156.6
21372,2,104.4
20289,2,108.75
34242,2,261
17214,2,117.45
15330,2,104.4
22770,2,104.4
21396,2,130.5
16185,2,91.35
28113,2,113.1
30156,2,152.25
18753,2,117.45
25767,2,365.4
15624,2,104.4
18762,2,104.4
17199,2,95.7
12045,2,91.35
38007,2,182.7
20499,2,130.5
27396,2,104.4
16539,2,52.2
21864,2,156.6
24288,2,165.3
24099,2,204.45
18936,2,143.55
20226,2,117.45
17571,2,130.5
20001,2,156.6
21324,2,182.7
18834,2,130.5
21699,2,156.6
89643,2,730.8
53655,2,1017.9
657678,2,3758.4
27261,1,152.25
36096,2,208.8
17592,2,182.7
19899,2,141
38838,2,282
22617,2,169.2
23286,2,183.3
36465,2,192.7
67806,2,410.4
235428,2,1816.92
16767,2,172.8
36528,2,170.8
40524,2,190.8
34302,2,201.3
25029,2,134.2
61881,2,221.68
27303,1,152.88
45786,1,81.9
5415,2,633.08
19905,2,86.94
9660,2,49.68
213168,3,971
186516,1,500.08
34482,2,201.84
21696,2,323.64
43770,2,211.83
111522,2,925.2
22839,2,468
38838,2,536.4
36750,2,514.8
35886,2,615.6
68823,2,481.44
127539,2,548.7
35160,2,548.41
28431,2,186.3
50664,2,235.98
28362,2,215.28
53766,2,409.86
15774,2,151.11
39618,2,248.4
41358,2,263.58
11082,2,186.3
28092,2,173.88
185874,3,995.41
142785,1,785.18
42405,1,198.66
115839,1,761.53
250338,2,743.04
151086,1,600.27
265074,2,1173.44
238983,2,2380.8
47724,1,1176.48
43455,1,130.72
38808,1,161.12
126405,1,270.56
86550,1,307.04
75435,1,355.68
