pixel_count,mounting_configuration,power
5825,2,218.62
4945,2,183.6
3916,2,128.52
3788,2,136
5344,2,193.46
3585,2,138.72
20000,2,618.24
2226,2,476.16
4729,2,253.44
8469,2,263.04
11756,2,284.16
6023,2,17.28
10551,2,324.48
4669,2,76.8
10358,2,276.8
54164,1,750.93
6557,1,106.925
36684,2,1274.7
14602,1,439.488
15329,1,439.488
17884,1,502.272
4543,2,156.6
2970,2,104.4
3385,2,108.75
6977,2,261
2973,2,117.45
2374,2,104.4
2327,2,104.4
3668,2,130.5
2481,2,91.35
3240,2,113.1
4399,2,152.25
2812,2,117.45
3269,2,365.4
2627,2,104.4
2966,2,104.4
2839,2,95.7
2090,2,91.35
5036,2,182.7
3374,2,130.5
2720,2,104.4
1391,2,52.2
4094,2,156.6
4136,2,165.3
4955,2,204.45
3675,2,143.55
3097,2,117.45
3253,2,130.5
4085,2,156.6
3569,2,182.7
3358,2,130.5
4053,2,156.6
18679,2,730.8
10803,2,1017.9
186253,2,3758.4
4109,1,152.25
5493,2,208.8
2765,2,182.7
3568,2,141
7387,2,282
4731,2,169.2
4526,2,183.3
4921,2,192.7
14077,2,410.4
55883,2,1816.92
2177,2,172.8
6082,2,170.8
6663,2,190.8
5905,2,201.3
2664,2,134.2
9688,2,221.68
5669,1,152.88
3329,1,81.9
11,2,633.08
2485,2,86.94
1569,2,49.68
63668,3,971
43384,1,500.08
8226,2,201.84
4459,2,323.64
6323,2,211.83
23103,2,925.2
4060,2,468
8150,2,536.4
5956,2,514.8
5928,2,615.6
13725,2,481.44
18653,2,548.7
5071,2,548.41
3548,2,186.3
7270,2,235.98
5965,2,215.28
9714,2,409.86
2890,2,151.11
7319,2,248.4
7910,2,263.58
1794,2,186.3
5149,2,173.88
53540,3,995.41
34416,1,785.18
9370,1,198.66
32818,1,761.53
75730,2,743.04
34336,1,600.27
54675,2,1173.44
49782,2,2380.8
10519,1,1176.48
4409,1,130.72
5700,1,161.12
22332,1,270.56
14715,1,307.04
13847,1,355.68
22921,1,562.4
7632,1,201.24
3994,2,132.48
10817,2,366.39
5144,2,165.6
3825,2,413.31
6993,2,259.44
3612,2,130.41
2333,2,82.8
1266,2,54.51
5582,2,177.68
8554,2,107.3
8058,2,216.32
8611,2,277.38
4939,2,151.8
8360,2,160.77
2127,2,78.66
4682,2,161.46
4949,2,164.7
17462,2,402.6
7711,2,309.96
28374,1,239.4
7181,3,153.72
5703,2,167.75
28154,1,383.04
20257,1,299.04
26481,1,417.6
17778,1,269.78
25857,1,443.52
17177,1,330
17323,1,412.8
15925,1,311.6
14729,1,316.94
24700,1,456.485
18029,1,367.36
19340,1,401.38
18400,1,286.65
24507,1,401.28
7549,1,138.24
0,1,208
19797,1,475.19
4685,2,130.98
2704,2,113.28
28421,2,309.72
6392,2,191.16
12832,2,588.12
5448,2,187.62
7139,2,219.48
12622,1,277.095
6056,1,76.95
4884,1,92.4
8194,2,139.08
4638,2,109.74
12877,2,421.26
3771,1,40.56
2522,1,165.62
3259,2,161.88
3904,2,32.31
3904,2,123.54
7193,2,242.5
16972,3,270.7
4074,1,73.7
2145,2,95.7
2145,2,82.5
2145,2,62.7
16005,2,464.4
15702,2,497.76
14320,2,438.48
13684,2,378
17919,2,514.23
13054,2,363.6
15360,2,452.4
47709,1,1209.6
7205,2,204.6
130760,3,2377.8
15796,2,506.88
37936,2,1149.12
15187,1,404.63
22305,2,733.2
3377,2,157.3
7198,2,317.2
4320,2,109.8
2983,2,97.6
2963,2,97.6
2148,2,61
9611,1,247.08
6837,2,214.32
48349,3,993.6
59095,1,1001.1
4590,1,69.12
3757,1,79.95
4745,1,86.4
762,1,84.36
4425,1,76.8
7654,2,216.92
937,2,195.84
4178,2,149.6
4654,2,161.16
2958,2,134.3
4004,2,170
4594,2,212.84
15954,1,383.18
4699,1,67.62
4006,1,87.36
7200,1,95.2
7173,2,226.8
7864,2,292.8
9814,2,302.4
5168,2,180
8824,2,290.4
7194,2,226.8
11548,2,319.05
5456,2,173.85
14212,2,173.85
2110,2,63
6366,2,216
9920,2,288
13531,2,378
5903,2,180
8689,2,255.6
9214,2,279
6027,2,171.99
8126,2,264.6
10984,2,315
8805,2,252
6464,2,198
14216,2,226.8
4928,2,140.4
9274,2,302.4
5913,2,183
10587,2,315
8262,2,256.2
7277,2,419.4
7008,2,210.45
6431,2,253.8
7853,2,226.8
10266,2,288
4280,2,510.3
8984,2,270
6007,2,204.12
8204,2,264.6
11326,2,343.8
4654,2,137.25
9103,2,292.8
90049,3,1295.64
45211,3,796.05
21292,3,395.28
56985,3,988.2
37113,3,724.68
11509,2,394.8
7909,2,278.4
2948,1,40.32
1898,1,33.44
2904,1,36.75
3689,1,48.96
3248,1,44.064
3151,1,30.6
2422,1,40.53
2703,1,47.952
3590,1,37.24
3829,1,63.36
2126,1,28.5
2581,1,39.2
2884,1,31.35
3336,1,45.22
1930,1,38.5
69163,1,1185.28
2552,1,39.52
3312,1,38.025
3244,1,37.05
3071,1,40.425
2344,1,48.45
4097,1,51.68
2637,1,37.4
2620,1,39.9
3145,1,37.05
3596,1,63
3048,1,39.52
2820,1,37.05
2225,1,28.5
2675,1,38.22
2261,1,34.2
3192,1,39.27
3744,1,45.22
2194,1,25.65
2859,1,42.56
3248,1,51.84
2862,1,36.75
2877,1,37.05
4622,2,665.55
999,2,39.15
5826,2,282
4496,2,211.5
12897,1,977.76
13239,1,155.52
4615,1,156.96
2250,1,168.732
4759,1,635.688
1627,2,846
7289,2,310.2
6565,2,277.3
5458,2,225.6
4760,2,182.7
4651,2,169.65
4740,1,141.3
10653,2,390.1
12983,2,548.25
13079,2,695.856
16628,2,591.6
7704,2,1096.2
17717,1,652.5
30174,1,1109.25
11380,2,430.65
9097,2,326.25
6178,2,187.05
13901,3,261
7137,2,261
24667,2,457.8
6541,2,274.68
6991,2,292.992
5445,2,219.744
4645,2,173.964
12067,2,778.26
3396,2,128.184
15485,1,677.544
15979,1,531.048
18475,1,714.168
17241,1,549.36
47576,1,928.62
18613,1,355.77
18220,3,285.12
7522,1,142.56
10692,1,344.52
15081,1,318.6
12556,1,260.82
12793,1,335.34
12407,1,335.34
14316,1,306.18
8880,1,217.35
10232,1,471.96
10232,1,484.38
2519,1,45.54
8915,1,182.16
5461,1,113.85
8948,1,229.77
5345,1,117.65
4827,1,113.85
36123,1,638.82
11941,1,304.98
11812,1,274.64
18382,1,255.84
12048,1,190.74
1599,1,1834.56
6028,1,47.84
91519,1,2499.42
15984,1,168.03
9827,1,272.06
11721,1,233.7
3632,1,247.8
160371,3,1184.4
13114,1,81.75
95881,3,1998
105719,3,231.855
2512,1,57.72
54032,3,720.72
613,2,48.64
4377,1,60.8
5669,1,152.88
3329,1,81.9
12693,1,43.68
19718,1,2.34
1205,1,15.96
25238,1,43.68
