pixel_count,mounting_configuration,technology_type,power,module_technology,module_model
160371,3,6,1184.4,CdTe,fs-4117a-3
13114,1,6,81.75,CdTe,fs-275
95881,3,6,1998,CdTe,fs-4112-2
105719,3,6,231.855,CdTe,fs-272
5825,2,2,218.62,mono-Si,sw340 xl mono
4945,2,2,183.6,mono-Si,sw340 xl mono
3916,2,2,128.52,mono-Si,sw340 xl mono
3788,2,2,136,mono-Si,sw340 xl mono
5344,2,2,193.46,mono-Si,sw340 xl mono
3585,2,2,138.72,mono-Si,sw340 xl mono
20000,2,2,618.24,mono-Si,sw320 xl mono
2226,2,2,476.16,mono-Si,sw320 xl mono
4729,2,2,253.44,mono-Si,sw320 xl mono
8469,2,2,263.04,mono-Si,sw320 xl mono
11756,2,2,284.16,mono-Si,sw320 xl mono
6023,2,2,17.28,mono-Si,sw320 xl mono
10551,2,2,324.48,mono-Si,sw320 xl mono
4669,2,2,76.8,mono-Si,sw320 xl mono
10358,2,2,276.8,mono-Si,sw320 xl mono
54164,1,2,750.93,mono-Si,sw245
14602,1,2,439.488,mono-Si,spr-e20-327-com
15329,1,2,439.488,mono-Si,spr-e20-327-com
17884,1,2,502.272,mono-Si,spr-e20-327-com
4543,2,2,156.6,mono-Si,spr-e20-435-com
2970,2,2,104.4,mono-Si,spr-e20-435-com
3385,2,2,108.75,mono-Si,spr-e20-435-com
6977,2,2,261,mono-Si,spr-e20-435-com
2973,2,2,117.45,mono-Si,spr-e20-435-com
2374,2,2,104.4,mono-Si,spr-e20-435-com
2327,2,2,104.4,mono-Si,spr-e20-435-com
3668,2,2,130.5,mono-Si,spr-e20-435-com
2481,2,2,91.35,mono-Si,spr-e20-435-com
3240,2,2,113.1,mono-Si,spr-e20-435-com
4399,2,2,152.25,mono-Si,spr-e20-435-com
2812,2,2,117.45,mono-Si,spr-e20-435-com
3269,2,2,365.4,mono-Si,spr-e20-435-com
2627,2,2,104.4,mono-Si,spr-e20-435-com
2966,2,2,104.4,mono-Si,spr-e20-435-com
2839,2,2,95.7,mono-Si,spr-e20-435-com
2090,2,2,91.35,mono-Si,spr-e20-435-com
5036,2,2,182.7,mono-Si,spr-e20-435-com
3374,2,2,130.5,mono-Si,spr-e20-435-com
2720,2,2,104.4,mono-Si,spr-e20-435-com
1391,2,2,52.2,mono-Si,spr-e20-435-com
4094,2,2,156.6,mono-Si,spr-e20-435-com
4136,2,2,165.3,mono-Si,spr-e20-435-com
4955,2,2,204.45,mono-Si,spr-e20-435-com
3675,2,2,143.55,mono-Si,spr-e20-435-com
3097,2,2,117.45,mono-Si,spr-e20-435-com
3253,2,2,130.5,mono-Si,spr-e20-435-com
4085,2,2,156.6,mono-Si,spr-e20-435-com
3569,2,2,182.7,mono-Si,spr-e20-435-com
3358,2,2,130.5,mono-Si,spr-e20-435-com
4053,2,2,156.6,mono-Si,spr-e20-435-com
18679,2,2,730.8,mono-Si,spr-e20-435-com
10803,2,2,1017.9,mono-Si,spr-e20-435-com
186253,2,2,3758.4,mono-Si,spr-e20-435-com
4109,1,2,152.25,mono-Si,spr-e20-435-com
5493,2,2,208.8,mono-Si,spr-e20-435-com
2765,2,2,182.7,mono-Si,spr-e20-435-com
3568,2,2,141,mono-Si,spr-x21-470-com
7387,2,2,282,mono-Si,spr-x21-470-com
4731,2,2,169.2,mono-Si,spr-x21-470-com
4526,2,2,183.3,mono-Si,spr-x21-470-com
4921,2,2,192.7,mono-Si,spr-x21-470-com
