system_id,power,latitude,longitude,mount_type,module_technology,module_model
7615,36,38.187386,-84.899261,Ballasted Roof Mount,multi-Si,AC-300P-156-72S
7628,89.67,38.207329,-83.562904,Ballasted Roof Mount,multi-Si,CS6X-305P
7629,36.6,38.187386,-84.899261,Ballasted Roof Mount,multi-Si,CS6X-305P
7626,64.05,36.84618,-84.836586,Ballasted Roof Mount,multi-Si,CS6X-305P
7623,82.5,38.180855,-84.917435,Ballasted Roof Mount,Unknown,Unknown
6573,457.8,32.621,-116.989,Canopy,mono-Si,spr-327ne-wht-d
6576,787.416,32.5641617,-117.0158692,Canopy,mono-Si,spr-327ne-wht-d
6581,292.992,32.6546493,-116.95,Canopy,mono-Si,spr-327ne-wht-d
6587,128.184,32.672,-117.073,Canopy,mono-Si,spr-327ne-wht-d
6540,969,37.4189618,-121.936,Canopy,mono-Si,spr-425e-wht-d
6588,933.912,19.7393619,-156.0408423,Canopy,mono-Si,spr-e20-327-com
6417,104.4,37.9901091,-122.29,Canopy,mono-Si,spr-e20-435-com
6418,91.35,37.9957153,-122.3353881,Canopy,mono-Si,spr-e20-435-com
6423,91.35,37.9320339,-122.3639752,Canopy,mono-Si,spr-e20-435-com
6425,130.5,37.9427312,-122.3645096,Canopy,mono-Si,spr-e20-435-com
6427,91.35,37.994,-122.313,Canopy,mono-Si,spr-e20-435-com
6430,456.75,37.9081745,-122.2954336,Canopy,mono-Si,spr-e20-435-com
6431,152.25,37.9513177,-122.3418389,Canopy,mono-Si,spr-e20-435-com
6433,117.45,37.9027813,-122.294,Canopy,mono-Si,spr-e20-435-com
6444,130.5,34.073,-117.386,Canopy,mono-Si,spr-e20-435-com
6458,130.5,34.0420337,-117.3088956,Canopy,mono-Si,spr-e20-435-com
6459,156.6,34.0296858,-117.313,Canopy,mono-Si,spr-e20-435-com
6475,208.8,37.722706,-121.7188387,Canopy,mono-Si,spr-e20-435-com
6484,156.6,34.0783675,-117.31,Canopy,mono-Si,spr-e20-435-com
6486,143.55,34.081,-117.333,Canopy,mono-Si,spr-e20-435-com
6533,169.65,37.684,-121.7860807,Canopy,mono-Si,spr-e20-435-com
6550,1931.4,34.4196609,-119.8573827,Canopy,mono-Si,spr-e20-435-com
6554,639.45,33.1443254,-117.0908542,Canopy,mono-Si,spr-e20-435-com
6556,508.95,33.13,-117.0406022,Canopy,mono-Si,spr-e20-435-com
6558,1096.2,32.7611367,-116.9210772,Canopy,mono-Si,spr-e20-435-com
6559,652.5,33.8809884,-117.8900673,Canopy,mono-Si,spr-e20-435-com
6562,600.3,34.0577941,-117.4143223,Canopy,mono-Si,spr-e20-435-com
6569,261,38.2952878,-122.2619264,Canopy,mono-Si,spr-e20-435-com
6465,1017.9,32.7986589,-116.9483938,Canopy,mono-Si,spr-e20-435-com
6483,183.3,37.7254804,-121.7287021,Canopy,mono-Si,spr-x21-470-com
6536,390.1,36.7436852,-119.782252,Canopy,mono-Si,spr-x21-470-com
6416,156.6,37.9857338,-122.3076513,Canopy,mono-Si,spr-e20-435-com
6419,108.75,37.9927474,-122.2345451,Canopy,mono-Si,spr-e20-435-com
6420,261,37.932557,-122.336882,Canopy,mono-Si,spr-e20-435-com
6426,261,37.994,-122.304,Canopy,mono-Si,spr-e20-435-com
6429,234.9,37.9679706,-122.287,Canopy,mono-Si,spr-e20-435-com
6437,104.4,38.0071291,-122.2530479,Canopy,mono-Si,spr-e20-435-com
6445,104.4,34.0436904,-117.457,Canopy,mono-Si,spr-e20-435-com
6453,117.45,34.087,-117.3309816,Canopy,mono-Si,spr-e20-435-com
6454,130.5,34.04,-117.273,Canopy,mono-Si,spr-e20-435-com
6461,1057.05,32.8480821,-117.0155817,Canopy,mono-Si,spr-e20-435-com
6468,3758.4,34.112,-117.273,Canopy,mono-Si,spr-e20-435-com
6469,522,34.106466,-117.2759309,Canopy,mono-Si,spr-e20-435-com
6487,39.15,34.0714938,-117.3109211,Canopy,mono-Si,spr-e20-435-com
6502,1426.8,32.634,-117.0775725,Canopy,mono-Si,spr-e20-435-com
6523,704.7,33.977,-117.3309904,Canopy,mono-Si,spr-e20-435-com
6524,874.35,33.781,-118.114,Canopy,mono-Si,spr-e20-435-com
6532,182.7,37.6850539,-121.7414719,Canopy,mono-Si,spr-e20-435-com
6563,1070.1,34.021,-117.329,Canopy,mono-Si,spr-e20-435-com
6564,430.65,34.0713926,-117.38,Canopy,mono-Si,spr-e20-435-com
6565,326.25,34.0508117,-117.4191583,Canopy,mono-Si,spr-e20-435-com
6566,187.05,38.1700259,-122.2676779,Canopy,mono-Si,spr-e20-435-com
6478,282,37.6629103,-121.7932084,Canopy,mono-Si,spr-x21-470-com
